Fiscal Year,District,Rank,Years,,I,II,III
2017 - 2018,001 Adair County,I,0,,44000,0,0
2017 - 2018,001 Adair County,I,1,,44800,0,0
2017 - 2018,001 Adair County,I,2,,45778,0,0
2017 - 2018,001 Adair County,I,3,,46693,0,0
2017 - 2018,001 Adair County,I,4,,47627,0,0
2017 - 2018,001 Adair County,I,5,,48580,0,0
2017 - 2018,001 Adair County,I,6,,49551,0,0
2017 - 2018,001 Adair County,I,7,,50542,0,0
2017 - 2018,001 Adair County,I,8,,51553,0,0
2017 - 2018,001 Adair County,I,9,,52584,0,0
2017 - 2018,001 Adair County,I,10,,53500,0,0
2017 - 2018,001 Adair County,I,11,,54035,0,0
2017 - 2018,001 Adair County,I,12,,54575,0,0
2017 - 2018,001 Adair County,I,13,,55121,0,0
2017 - 2018,001 Adair County,I,14,,55672,0,0
2017 - 2018,001 Adair County,I,15,,55811,0,0
2017 - 2018,001 Adair County,I,16,,55951,0,0
2017 - 2018,001 Adair County,I,17,,56091,0,0
2017 - 2018,001 Adair County,I,18,,56231,0,0
2017 - 2018,001 Adair County,I,19,,56372,0,0
2017 - 2018,001 Adair County,I,20,,56513,0,0
2017 - 2018,001 Adair County,I,21,,56654,0,0
2017 - 2018,001 Adair County,I,22,,56796,0,0
2017 - 2018,001 Adair County,I,23,,56938,0,0
2017 - 2018,001 Adair County,I,24,,57080,0,0
2017 - 2018,001 Adair County,I,25,,57223,0,0
2017 - 2018,001 Adair County,I,26,,57366,0,0
2017 - 2018,001 Adair County,I,27,,57509,0,0
2017 - 2018,001 Adair County,I,28,,57653,0,0
2017 - 2018,001 Adair County,I,29,,57797,0,0
2017 - 2018,001 Adair County,I,30,,57941,0,0
2017 - 2018,001 Adair County,I,31,,57941,0,0
2017 - 2018,001 Adair County,I,32,,57941,0,0
2017 - 2018,001 Adair County,I,33,,57941,0,0
2017 - 2018,001 Adair County,I,34,,57941,0,0
2017 - 2018,001 Adair County,I,35,,57941,0,0
2017 - 2018,001 Adair County,I,36,,57941,0,0
2017 - 2018,001 Adair County,I,37,,57941,0,0
2017 - 2018,001 Adair County,I,38,,57941,0,0
2017 - 2018,001 Adair County,I,39,,57941,0,0
2017 - 2018,001 Adair County,I,40,,57941,0,0
2017 - 2018,001 Adair County,II,0,,40000,0,0
2017 - 2018,001 Adair County,II,1,,40800,0,0
2017 - 2018,001 Adair County,II,2,,41616,0,0
2017 - 2018,001 Adair County,II,3,,42448,0,0
2017 - 2018,001 Adair County,II,4,,43500,0,0
2017 - 2018,001 Adair County,II,5,,44370,0,0
2017 - 2018,001 Adair County,II,6,,45257,0,0
2017 - 2018,001 Adair County,II,7,,46163,0,0
2017 - 2018,001 Adair County,II,8,,47086,0,0
2017 - 2018,001 Adair County,II,9,,48028,0,0
2017 - 2018,001 Adair County,II,10,,49500,0,0
2017 - 2018,001 Adair County,II,11,,49995,0,0
2017 - 2018,001 Adair County,II,12,,50495,0,0
2017 - 2018,001 Adair County,II,13,,51000,0,0
2017 - 2018,001 Adair County,II,14,,51510,0,0
2017 - 2018,001 Adair County,II,15,,51639,0,0
2017 - 2018,001 Adair County,II,16,,51768,0,0
2017 - 2018,001 Adair County,II,17,,51897,0,0
2017 - 2018,001 Adair County,II,18,,52027,0,0
2017 - 2018,001 Adair County,II,19,,52157,0,0
2017 - 2018,001 Adair County,II,20,,52418,0,0
2017 - 2018,001 Adair County,II,21,,52549,0,0
2017 - 2018,001 Adair County,II,22,,52680,0,0
2017 - 2018,001 Adair County,II,23,,52812,0,0
2017 - 2018,001 Adair County,II,24,,52944,0,0
2017 - 2018,001 Adair County,II,25,,53076,0,0
2017 - 2018,001 Adair County,II,26,,53209,0,0
2017 - 2018,001 Adair County,II,27,,53342,0,0
2017 - 2018,001 Adair County,II,28,,53475,0,0
2017 - 2018,001 Adair County,II,29,,53609,0,0
2017 - 2018,001 Adair County,II,30,,53743,0,0
2017 - 2018,001 Adair County,II,31,,53743,0,0
2017 - 2018,001 Adair County,II,32,,53743,0,0
2017 - 2018,001 Adair County,II,33,,53743,0,0
2017 - 2018,001 Adair County,II,34,,53743,0,0
2017 - 2018,001 Adair County,II,35,,53743,0,0
2017 - 2018,001 Adair County,II,36,,53743,0,0
2017 - 2018,001 Adair County,II,37,,53743,0,0
2017 - 2018,001 Adair County,II,38,,53743,0,0
2017 - 2018,001 Adair County,II,39,,53743,0,0
2017 - 2018,001 Adair County,II,40,,53743,0,0
2017 - 2018,001 Adair County,III,0,,36000,0,0
2017 - 2018,001 Adair County,III,1,,36720,0,0
2017 - 2018,001 Adair County,III,2,,37454,0,0
2017 - 2018,001 Adair County,III,3,,38203,0,0
2017 - 2018,001 Adair County,III,4,,39000,0,0
2017 - 2018,001 Adair County,III,5,,39780,0,0
2017 - 2018,001 Adair County,III,6,,40576,0,0
2017 - 2018,001 Adair County,III,7,,41387,0,0
